Event_ID,Exact_Date,Master_Location,Primary_Figure,Subject_Action,Summary_Text,Details_Evidence,Artifact_Refs,Social_Weight
E1869_001,1865.07.19,金華,,位移,地方不靖，隨父避亂至金華山，居羅店，延師啟蒙。課暇，喜觀圖畫，仿效塗抹，尤好問畫理畫法，從蕭山畫師倪逸甫處得聞“當如作字法，筆筆宜分明”畫訓。,汪譜：“先生七歲，在羅店。” 《康熙金華府志》：“金華山，府城北二十里，一名長山，發脈自東陽之大盆山，迤至此，横亘金華、蘭溪、義烏、浦江之境，周三百六十里，山嶺雙巒對矗，曰玉壺，曰金壺，中有湖名徐公壺，水分兩脈而下，其瀉乎山之陽者，由山橋而達於溪，其注乎山之陰者，由鹿田而入於洞，盆中飛瀑瀉出，若玉虹下飲，注爲赤松澗，即黄初平兄弟登仙處。山之前爲山橋，兩崖對峙，高數百仞，溪流折旋，其中爲瀑爲湍，有石横跨其上，故山以橋名。自此過脈至芙蓉峰，郡之主峰也。” 又：“赤松山，縣北十五里，一名卧陽山，即黄初平叱石處，其山往往白石錯落如羣羊散牧。初平號赤松子，故山以是名，後人爲立祠名赤松宫。” 《舒國華氏輯金華北山古詩選後跋》：“余憶髫齡讀書金華山，自赤松宫登北山，訪黄初平叱石成羊處，循山麓行，經智者寺，觀陸放翁所書自作詩石刻；至鹿田，游昭真、雙龍、冰壺三洞。時冰壺洞爲沙石淹没，形勢最窪下，未得入；次高爲雙龍，龍被俗人鑿毀其一首，猶蜿蜒飛動，隱約巖石間，鐘乳滴瀝衣袖，聞水聲潺潺，流入溪澗矣；昭真最高，幽冥當秉炬，可深入數里。後數十年重游此地，行徑開闢，泉流疏濬，已容小舟，俯首匍匐行，遂一探其勝；老友蔣蓮僧題‘山靈知己’四字，贈黄時雄以志之。” 《八十自述》：“幼年六七歳，隨先君寓浙東，因避洪楊之亂至金華山。家塾延蒙師，課讀之暇，見有圖畫，必細意觀覽。先君喜古今書籍書畫，侍側常聽之，記之心目，輒爲仿效塗抹，遇能書畫者，必訪問窮究其理法。時有蕭山倪丈炳烈善書，其从子淦，七歲即能畫人物花鳥。其父倪翁，忘其名，常携至余家。觀其所作畫，心喜之而勿善也，意作畫不應如是之易，以其粗率，不假思索耳。其父年近六旬，每論畫理，言作畫必先懸紙於壁上而熟視之，明日往觀，坐必移時，如是三日，而後落筆。余從旁竊笑，以爲此翁道氣太過，好欺人。請益於先君，詔之曰：‘兒知王勃腹稿乎？’因知古人文章書畫，皆貴胸有成竹，未可枝枝節節爲之也。翌日，倪翁至，叩以畫法，不答。堅請，乃曰：‘當如作字法，筆筆宜分明，方不至爲畫匠也。’余謹受教而退。再叩以作書之法，故難之，强而後可。聞其議論，明昧參半，遵守其所指示，行之年餘，不敢懈怠。倪翁不常至，余惟檢家中所藏古書畫，時時觀玩之。家有白石翁畫册，所作山水，筆筆分明，學之數年不間斷。” 《雜稿》：“余髫齡習聞紹興倪逸叟論書法，嘗請益之，令寫一‘大’字楮素上，反紙視背，只見重筆三四點，笑曰橫豎撇捺，當點點著實紙上，如讀書之字字清楚，作文之字字推敲，不可有一挑半剔、輕薄浮滑氣象，才是大家風度。古人作書，以身使臂，以臂使肘，以肘運腕，浩浩汗汗一筆耕，神妙欲到秋毫顛。書要熟中熟，畫須熟中生。生則拙，拙而嫩。從一點看，於唐人以前全用點，至北宋董元用線條中含點意，至米元章自謂其畫無一點吳道子習氣，足見吳裝率易，尚非其至（致）。董玄宰言董巨二米為一家法，以此。“ 王伯敏《卓越的山水畫家黄賓虹》：“黄賓虹先生父親有知友倪逸甫，颇有才華，工詩善畫，然爲人却甚傲慢，先生與其弟前往請教，倪先生看他們年輕，往往笑而不理。可是先生求知心切，曾想盡方法要獲得這位前輩的指教。有一次，倪先生来，適先生父親外出，先生與其弟便苦留了他，並拿出一年來通過倪先生的兒子的幫助，暗中在倪家抄得的《逸甫論畫》一大帙，苦求請教。就這樣，感動了這位傲慢的前輩先生，從此，倪先生便將學畫的方法作了系統的講述。”...,康熙金華府志 / 舒國華氏輯金華北山古詩選後跋 / 八十自述 / 雜稿 / 卓越的山水畫家黄賓虹 / 逸甫論畫,10
E1869_002,1865.07.19,金華,,書信,隨業師李灼先、李詠棠游金華北山三洞，住憩園讀其藏書。,汪谱：“随李灼先、李詠棠游金華北山三洞，住憩園讀其藏書（見先生九十歲作山水畫贈李挺宜題跋）。按：憩園是李灼先讀書處。” 《九十雜述》：“訪憩園，所居有獅山、龍洞之水流，居人多蒔蘭蕙、栽佛手為業。因游鹿田村，探金華三洞，經智者寺，觀陸放翁碑，繞北山，游赤松宫，觀黄初平叱石成羊處，別有圖記。” 存考：讀書金華山，汪譜系於1870年黄賓虹七歳時。云“先生七歳，在羅店”，同時將李灼先、李詠棠問學的事也繫於該年：“從李國檉（灼先）、李國棠（詠棠）學文詞書畫（見先生題畫款識）。”按：先生九十歳作畫贈李國檉之孫李挺宜題跋中有‘余憶髫齡從令先祖貢士公昆季兩業師讀書郡齋，得聞漢、宋諸儒訓詁性理之學，兼習文詞書畫’云。”汪譜如此繫年，可能出於對黄賓虹一再説的“髫齡”一詞以及自述“六七歳”的推衍，然而不知“在羅店”有何依據。羅店是金華縣所轄的很大的一個村邑，距金華三洞不遠。金華趙依羣先生在羅店民居的門牆上發現了李灼先的遺蹟，筆者曾隨趙先生前往探訪，門楣及内牆上李灼先所繪山水畫，水平雖平平，却是汪譜記述的一個實證：黄賓虹六七歳時曾在羅店從李灼先、李詠棠昆仲學文詞書畫。然而隨李灼先游三洞及住憩園讀李氏藏書之事，汪譜繫於1880年條，也不知何據。憩園有“獅山、龍洞之水流”，故址很可能就在羅店。由於缺乏李灼先更多的可資參照的材料，要梳理這一段髫齡時段的舊事而不失真，是不現實的。本譜從黄賓虹自述“六七歳，隨先君寓浙東，因避洪楊之亂至金華山”，一併繫於本年待考。...,九十雜述,7
E1870_001,1865.07.19,金華,,活动,三弟貢（1870—1919）生。譜諱懋貢，字元清，號廉叔。,《歙潭渡黄氏先德錄》：“三弟諱贛（古‘貢’字），字元清，號廉叔，行第三，余之胞弟也。性孝謹，先意承旨，恒得父母歡，先考妣鍾愛之。友於兄弟，事余篤敬。”...,歙潭渡黄氏先德錄,7
E1870_002,1865.07.19,金華,,書信,仍從邵賦清習四子書。稍能檢閱《字彙》，粗知形、聲、誼，識字千餘。,《自撰年譜》稿：“庚午，余三弟生。前聘湯溪邵赋清師，年六十餘，爲余童子師。家塾藏有《字彙》等，稍稍能檢閱，粗知字有形、聲、誼，能好問。” 《九十雜述》：“我年七歲，識字千餘，從蒙師讀四子書。”...,字彙 / 自撰年譜 / 字彙 / 九十雜述,7
E1870_003,1870.09.04,金華,,活动,習畫甚勤奮，每天習畫兩小時，終生不渝。,《夏承燾集·天風閣學詞日記》1950年9月4日條： “午後持貞晦函詣黄賓老，賓老允作畫壽七十。聽其談學畫經歷，謂兒時避亂金華，其尊人菊（鞠）如先生，以集資來往金華、蘇州販布起家，延金華黄梅溪（濟川）教賓老。賓老六七歲時，即每晨學畫兩小時，迄今八十年不廢。謂作家教徒學畫，先人物，次花鳥，後山水。文人畫，則以習書之餘習蘭竹。又謂磨墨向裏作圈爲順法，似二王書；向外爲逆法，似隸書章草。”...,夏承燾集·天風閣學詞日記,7
E1871_001,1870.09.04,金華,,活动,四弟贊（1871—1948）生。譜諱懋贊，一名元秀，字晉新。,族侄黄崇惺，字次蓀，由庶吉士分發福建歸化知縣，道經金華，館塾中，爲訂課程。隨父陪同游覽金華八詠樓，次蓀指問林中紅葉，乃以唐詩對；又問草蟲，答以蚱蜢；又問可知蚱蜢爲舴艋之諧音，答以小舟，象形也。次蓀稱奇。抵閩中歸化縣後，爲薦歙程健行來金華黄氏家塾教授，並自閩中郵寄自著《勸學贅言》、《鳳山筆記》，以及重訂《潭渡雜志》等書供研習。 《自撰年譜》稿：“辛未，四弟生。歙潭渡族次蓀太史崇惺以（按：原稿破殘，應爲‘咸豐辛亥浙榜’）入翰林，是年黄山豐樂水流域十里中，同榜者爲鄭成章、汪運鑰、洪鑌。次蓀太史來浙至金華，館余家塾中，爲訂課程。游八詠樓，余見□□□（按：原稿不清，疑爲米萬鍾）詩石刻，能成誦。抵閩，嘗以所著寄贈，有重訂《潭渡瑣志》，知種族自江夏來，始於東晉。詳余所著《先德錄》。” 《自述稿》：“次蓀太史宦閩中，道經金衢，行宿家塾，出重刻祖族鳳六山人吕（白山公之嗣也）所撰《潭渡雜志》，工詩文，善書畫，精篆刻，汪訒弇《續印人傳》稱其具四美焉。族之先哲以畫名世者，代有其人。誦讀之餘，因喜習繪事。” 《歙潭渡黄氏先德錄》：“次蓀太史，諱崇惺，原名崇姓，字麐士，號次孫，真民先生孫。幼穎異，從父雨墩司訓鍾愛之。長遭兵亂，時同族虎卿觀察任漢黄道，客漢臯。旋中咸豐辛亥浙榜，同治辛未授庶吉士，令閩中。先考鞠如府君僑浙東，君迂道來拜，府君命余兄弟出謁。余方八齡，隨登婺州之八詠樓，指問林中紅葉，余舉唐人詩以對；又問草蟲，余稱蚱蜢，君笑曰：‘子知蚱蜢爲舴艋之諧聲乎？’余因曰：‘小船也，亦象形也。’乃大噱。明年爲敦請同邑程健行師教授，屢郵在閩中所著《勸學贅言》、《鳳山筆記》，及重刊《潭濱雜志》等書至。未幾卒於任所，歷任歸化、福清知縣，署汀州同知。有《二江草堂詩》、《草心樓題畫詩》，未及梓（按：《草心樓題畫詩》後刊於《美術叢書》）。家多藏書，旋亦盡佚。先是嘗擬修蓼莪堂譜，秋宜少尉亦欲與君輯嘉道以來里中軼事，以續《潭濱雜志》之後，又爲《思源錄》，以紀述先德之文，均有志未果。” 《民國歙縣志》：“黄崇惺，原名崇姓，字次蓀，潭渡人。幼穎異，長遭兵亂，客漢臯。咸豐辛亥浙榜舉人，同治辛未進士，歷任福建歸化、福清知縣，署汀州同知，所至有政聲。詩文皆雅健，著述甚富，多有關吾鄉掌故之作，其《鳳山筆記》專記太平軍入徽始末甚詳。同治中議修府志，崇惺作《郡志辯證》，訂道光志之失凡數十事，皆精確。又著有《勸學贅言》、《集虛齋賦存》、《文存》、《二江草堂詩集》、《草心樓讀畫詩》。”...,勸學贅言 / 鳳山筆記 / 潭渡雜志 / 自撰年譜 / 潭渡瑣志 / 先德錄 / 自述稿 / 潭渡雜志 / 續印人傳 / 歙潭渡黄氏先德錄 / 勸學贅言 / 鳳山筆記 / 潭濱雜志 / 二江草堂詩 / 草心樓題畫詩 / 草心樓題畫詩 / 美術叢書 / 潭濱雜志 / 思源錄 / 民國歙縣志 / 鳳山筆記 / 郡志辯證 / 勸學贅言 / 集虛齋賦存 / 文存 / 二江草堂詩集 / 草心樓讀畫詩,7
E1872_001,1870.09.04,金華,,書信,從歙程健行四子書及五經，粗具獨立思考能力。,與汪達川書：“回憶當髫年，程氏夫子昆仲館穀尊賤兩家私塾，時晤潭邸尊長訓迪，如在目前，忽忽數十年矣。” 北京時期殘稿：“余幼齡居城闉，盛暑恒苦炎熱，粗識之無，偶取唐人詩誦之，至‘修竹不受暑’之句，心甚愛竹。及‘落落長松夏日寒’之句，又兼愛松。一日課暇出郊坰，田家園林見修竹，余稱竹之美。有旁立者謂竹最可厭，根穿牆壁，能壞室宇，擬芟之。入山谷中，村舍環種松，青翠繞岡麓，余亦贊松之美。其主人曰：是柴木耳，祇供樵採，不合犁鋤之用，本無足異。一言害，一言利，彼徒有利害之見梗於胸臆中，而昧於精神之愉快，不知松竹之真者也。人世極平常淡泊之境，庸俗之所厭棄而優雅之士樂之，非誇簡易，自安清静無爲也。蓋一事一物之微，初無足觀，苟尋繹之，莫不各有至理所在，得其真趣。此中和之道，純任自然，非可矯飾爲之，古人探本原因，立以法，圖畫亦然。”...,,7
E1873_001,1870.09.04,金華,,活动,長妹生，早殤。,按：黄賓虹有妹三人，次妹乃耐、三妹□□(名未詳)，生卒年不詳。《自撰年譜》載：“癸酉，長妹生，早殤。後生次妹，適鄭姓，爲裏鄭以績資所儲興小學。三妹適金姓。”從1914年5月爲祖母潘氏立碑之碑文可知次妹乃耐適鄭恒梓，三妹適金思步，詳1914年條。...,自撰年譜,7
E1873_002,1870.09.04,金華,,紀游,父命臨摹倪易甫乙丑年所作《松菊圖》。隨父游覽杭州並寫生。,王譜：“按先生1952年口述云：‘家藏《松菊圖》爲金華老畫家倪易甫得意之作。余十歲時，奉父命臨摹至再，印象甚深。隨父游覽杭州西湖、吳山，嘗出手册寫生。’”...,松菊圖 / 松菊圖,7
E1873_003,1870.09.04,金華,,活动,在杭期間，得見王蒙山水畫，臨摹不倦。,王譜：“隨父游覽杭州，見王蒙山水畫幅，印象很深，臨摹無間斷。”...,,7
E1873_004,1870.09.04,金華,,活动,從父命，留杭州從應芷賓問業。,王譜：“從應芷賓問業，課餘常游覽山水，寫景以歸。（見先生口述事略學生筆錄）。”...,,7
E1874_001,1874.春,金華,,活动,春返金華。讀族祖黄白山《字詁》，及黄春谷《夢陔堂文說》、《經說》，並開始學習刻印。,汪譜：“初讀黄生所著《字詁》，及黄承吉著《夢陔堂文說》、《經說》等書，自謂影響至深，頗得父母歡心。” 《歙潭渡黄氏先德錄》：“白山公諱生，字生父，庠名起溟，譜名曰琯，字扶孟，一字房孟。自以爲鍾靈秀於黄山、白嶽，因就己姓而號白山，別號冷翁，陶長公子。又夢中作黄山詩，醒而遺之，止記‘蓮花史’三字，又號蓮花外史。公生於明天啟壬戌，及崇禎癸未，年二十二，以諸生高尚不仕。康熙甲寅，耿藩之黨羅其熊，由饒至徽州，官軍與戰於績溪翬嶺。寇至家破。丙辰又遭非意之累，借宅居外。自云拯溺者濡，因有 ‘公冶師門雪，曾參母氏猜’之句。館吳蓉城司訓家近十載，後復以書招，謝未往。蔣太史超督學京師，客其幕二年，别去，書謝太史，且勸其休致。太史報書云：‘辱教，言言肝膈，倘我僥倖生還，當棄妻子入山學道，千秋事業，讓公矣。’公所交王不庵（煒）、龔野遺（賢）、屈翁山（大均）、王華父、釋成時、堅密、洪方舟（舫），皆知名士。不庵嘗與論定杜詩，兼通禪理。又有眉庵和尚，駐錫青蓮庵，以蔣太史舊知，公請師止黄山樓結夏。當己未亂平之後，有書五車，自言庭除喜廣，妻子同歡。作《園居十詠》詩，有鶴巢、古修堂、延霄樓、花榻山房、蘛圃諸勝。宅後爲人所佔，虞在公爲築室居之，名之曰‘吾廬’。公自國變後，至於晚年，以爲書不可不盡讀，友不可不盡交，天下之名山、大川，不可不盡游。歷錢唐，渡大江，與屈翁山相遇於淮海之間，典裘沽酒，高詠倡和，兩人之意氣，旁若無人。公乃終自欿然，於倦游歸里之日，閉戶讀書，抱膝長吟於三十六峰之下，破千金之産，買經史子集不下數千卷。山居不出者三十年，一意著作。所著有《一木堂詩稿》十二卷、《文稿》十八卷、《内稿》二十五卷、《外稿》三十卷，門侄采思公爲之付梓。所輯有一木堂字書四部、雜書十六種。所評有《古文正始》、《經世名文》、《文筏》三十卷、《詩筏》二十卷、《杜詩說》十二卷，雲間張九峰（彦之）作序。甫刊行，康熙間即爲仇太史（兆鰲）詳注所採錄，入四庫別集類存目。又選唐詩摘抄，康熙辛丑程紫峰（志淳）作序。未幾，《一木堂集》因禁消燬，評輯著書多散佚。所著《三禮會鑰》、《三傳會鑰》等書，亦不傳。惟《字詁》一卷、《義府》二卷，採進時，乃戴東原太史耳公名，未見公書，迫屬當事求而後得者。春谷公後起嘉道間，當經學極盛之秋，言觀公二書，其汲汲致力於文字之聲義者，乃實有見於聲與義之相因而起，爲從來先儒之所未明。前乎公，雖漢之巨儒，未觀其深；後乎公，即本朝諸儒尤者之一二，雖復見及，亦尚未能由此探究古人制字之本原。公書雖卷册無多，其於聲音之道，爲漢晉以來諸家所無，通貫之造境，不獨當明代束書不觀時，公獨爲其錚錚佼佼而已也。道光己亥之春，春谷公又就文宗閣抄出，延至三載，重爲讐校，遂於各條下綴按語，申明公意，藉稱合按，免使二書相離。庚子三月，儀徵劉文淇爲之校字，識跋於後，以付刊行。《四庫提要》略云：是編取晉張揖《字詁》以名其書，於六書多所發明，每字皆有新義，而根據博奥，與穿鑿者有殊。蓋生致力漢學，而於六書訓詁尤爲專長，故不同明人之勦說。《義府》二卷，上卷論經，下卷論子史集，附以金石，又有所注《冥通記》，以異教之言綴於末焉。小學訓詁，研究獨深，論其精核，不在方以智《通雅》之下。” 又：“春谷公諱承吉，初名萼棣，字謙牧，仰岑公次子。幼讀書聰敏，博綜兩漢諸儒論說。全椒金棕亭先生退官時，僑居相近，一見即贈詩，備極傾許。籍江都學生員，與同郡焦理堂（循）、李濱石（鍾泗）、江鄭堂（藩）諸先生友善，日以經義相切磨，當時有江、焦、黄、李四友之目。中嘉慶戊午解元，乙丑成進士，令廣西興安、岑溪諸縣。充戊辰試考官，拔名宿汪能肅。公所議事，率以才能屈其坐人...,字詁 / 夢陔堂文說 / 經說 / 字詁 / 夢陔堂文說 / 經說 / 歙潭渡黄氏先德錄 / 園居十詠 / 一木堂詩稿 / 文稿 / 内稿 / 外稿 / 古文正始 / 經世名文 / 文筏 / 詩筏 / 杜詩說 / 一木堂集 / 三禮會鑰 / 三傳會鑰 / 字詁 / 義府 / 四庫提要 / 字詁 / 義府 / 冥通記 / 通雅 / 夢陔堂詩 / 字詁 / 義府 / 經說 / 黄賓虹,7
E1875_001,1874.春,金華,,書信,居金華。於五經之外，兼習詩文詞書畫。,《自撰年譜稿》：“乙亥。聘趙經田師、應芹生師、李詠棠師、李灼先師。五經畢業，習爲詩。” 按：此稿乙亥後至庚辰四年間空缺，當爲記憶錯失，難以縷述所致。黄賓虹晚年題贈李灼先裔孫李挺宜畫有云“余憶髫齡從令先祖貢士公昆季兩業師讀書郡齋，得聞漢、宋諸儒訓詁之學，兼習文詞書畫”，所言當爲此際事。李灼先，名國檉；李詠棠，名國棠，善山水。 汪譜：“是年，能作多種多樣之時事畫、插圖、速寫等，並喜作五言詩，題自作山水畫軸（见先生口述事略）。” 王譜：“從祁寅（子賓）家借得明趙臯所藏山水畫册及畫家生平事迹考諸圖書，日夕鑽研。” 存考：黄賓虹《自撰年譜稿》云1880年家境中落後，遷城東三牌坊。從黄芸閣習舉業。黄芸閣不詳何許人。在《夏承燾集·天風閣學詞日記》中可以找到下列記述：“父延金華黄梅溪（濟川）教賓老。”黄梅溪與黄芸閣是不是同人異名，現在尚無法確指，但置是不是同人異名這個問題不論，黄梅溪做過黄賓虹的老師是無疑的。查《續修浙江通志採訪稿》有黄梅溪列傳，傳曰：“黄濟川，字梅溪，塘下人。幼穎敏，博學工文，善書畫，尤以墨梅著名。六歲畫龍於壁，逸逸有生氣，人目之爲顧長康。入泮後，家貧授徒以自給，邑之名士皆出其門。光緒丙子登賢書，時陽湖趙公曾向守郡，濟川本其所取肄業書院之高材生也，重其人，禮聘入幕，於地方利病多所獻替。有土豪匿重犯不俾出，趙公捕之急，土豪恐，挽濟川戚懷二百金求爲緩頰，濟川嚴拒之，而囑其出重犯以紓禍事，卒解。其廉潔能感人若此。越十年，成進士，以既用知縣分省湖南，歷攝慈利、清泉，以廉能稱。旋置武岡州，州固巖彊，民俗强悍。時有雈苻之警，濟川推誠治之，俗爲之變。將遷衡陽，而未屆瓜代也。適州屬有團民激變、會匪乘機焚掠之事，濟川歎曰：‘此吾事也，安敢以五日京兆辭！’乃捐俸募勇，親率剿撫，旬日之間，鬢髮驟白。惟州去省遠，郵電未通，軍書濡滯，大吏責其稟報遲，延以李令代，李固恇怯無能者，既至，匪勢正張，逡巡不敢接篆，旋見事稍定，則復爲邀功計，殺戮無辜，濟川力争不得，其被證者臨刑大呼曰：‘使黄青天在，吾輩不至此，願一見黄青天，死亦瞑目！’李令嫉之而又懼發其也，乃媒孽其短於吏，卒以是落職。待大吏去，得開復調入讞局，尋補綏寧，在職八年，吏畏民懷，以老疾歸，時年逾七十矣。先是濟川祖業質庫，粤匪之亂，家毀，債負甚巨，濟川常耿耿，宦成後獨償還之不下三千餘金，重修宗祠費亦不貲。時浙路初辦購股者，多觀望，濟川投重資以爲唱，冀牗用其風氣，亦人所難者。卒年七十有五，著有《雙硯齋文存》三卷、《怡雲山館詩草》二卷。濟川，恂恂儒者，不知巧宦之道，又無奥援，而歷任嚴邑，蓋皆以詩文書畫結上游之知云。”從小傳可知，黄梅溪丙子（1876）年入幕郡守，不再以授徒自給，1880年不可能再爲黄家所延致。黄梅溪授黄賓虹課之事，有可能也在此際。...,自撰年譜稿 / 自撰年譜稿 / 夏承燾集·天風閣學詞日記 / 續修浙江通志採訪稿 / 雙硯齋文存 / 怡雲山館詩草,7
